3466	937
3466	5233
3466	8579
3466	10310
3466	15931
3466	17038
3466	18720
3466	19607
10310	1854
10310	3466
10310	4583
10310	5233
10310	9572
10310	10841
10310	13056
10310	14982
10310	16310
10310	19640
10310	23855
10310	24372
10310	24814
5052	899
5052	1796
5052	2287
5052	3096
5052	3386
5052	4472
5052	5346
5052	5740
5052	6094
5052	6376
5052	9124
5052	10235
5052	10427
5052	10597
5052	15159
5052	16148
5052	16741
5052	18235
5052	18549
5052	19297
5052	20511
5052	20595
5052	20613
5052	24371
5052	24559
5052	24731
5052	25102
5052	25271
5052	25396
5346	1658
5346	4822
5346	5052
5346	6864
5346	7689
5346	7926
5346	9124
5346	10268
5346	12971
5346	15159
5346	18600
5346	20421
5346	20886
5346	21048
5346	22393
5346	23186
5346	23214
5346	23298
5346	23945
5346	24939
15159	5052
15159	5346
15159	20421
15159	22393
19640	339
19640	624
19640	3731
19640	4743
19640	5407
19640	6610
19640	6700
19640	8045
19640	9099
19640	9639
19640	9785
19640	10310
19640	12141
19640	15184
19640	15784
19640	18719
19640	19870
19640	20532
19640	22527
19640	23576
19640	23577
19640	23649
19640	24199
19640	24293
19640	25201
10243	6774
